account_id,external_account_ref,account_name,website,industry,segment,region,account_status,lifecycle_stage,account_owner,csm_owner,support_tier,contract_start_date,renewal_date,billing_frequency,billing_currency,arr_gbp,seats_purchased,seats_used,latest_nps,open_leads_count,avg_lead_score,last_lead_activity_date,open_tickets_count,urgent_open_tickets_count,sla_breaches_90d,avg_csat_90d,mrr_3m_ago_gbp,mrr_current_gbp,usage_score_3m_ago,usage_score_current,overdue_amount_gbp,expansion_pipeline_gbp,contraction_risk_gbp,last_qbr_date,latest_note_date,note_sentiment_hint,recent_support_summary,recent_customer_note,recent_sales_note
ACC-001,EXT-1001,Luma Health,lumahealth.example,Manufacturing SaaS,Enterprise,US,Active,Customer,Daniel Young,Ben Collins,Priority,2024-04-13,2026-05-31,Monthly,GBP,161028,415,341,14,1,,2026-02-21,2,0,1,4.1,13584.05,13331.72,56,52,198,10796,3531,2026-02-24,,,Low ticket volume and straightforward resolutions suggest the account is stable at present.,,Sales sees limited short-term change beyond standard account management.
ACC-002,EXT-1002,Harbor People,harborpeople.example,Manufacturing SaaS,SMB,EU,Active,Customer,Alice Johnson,Sofia Green,Standard,2025-09-20,2026-07-27,Annual,GBP,21186,32,26,10,3,83,2026-03-12,2,1,0,,1799.77,1749.06,84,74,6423,3638,2074,2025-11-13,2026-02-26,Neutral,"Support feedback is mixed: no major outage, though recurring friction points are slowing broader adoption.",Recent check-in showed both positive sponsorship and frustration from operational users.,Pipeline is present but not yet firm; relationship quality varies by stakeholder.
ACC-003,EXT-1003,Vector Schools,vectorschools.example,PropTech,Mid-Market,UK,Active,Renewal,Farah Malik,Maya Patel,Priority,2024-07-04,2026-04-25,Monthly,GBP,115909,74,48,31,0,,,3,1,1,3.8,9558.12,9438.59,54,51,5502,12148,8650,2025-11-08,2026-03-10,Neutral,"Operational usage is solid overall, but some teams have raised intermittent reporting or configuration complaints.","Leadership likes the product direction, but department-level adoption remains uneven across teams.","Sales sees moderate opportunity, although the account still needs tighter execution before expansion is likely."
ACC-004,EXT-1004,Luma Supply,lumasupply.example,Manufacturing SaaS,Mid-Market,UK,Active,Customer,Alice Johnson,Sofia Green,Standard,2024-01-27,2026-05-01,Monthly,GBP,130173,201,155,56,3,84,2026-03-12,1,1,0,4.1,10814.59,11263.42,71,83,,10645,2732,2026-02-07,2026-03-07,Positive,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,Sales sees a credible expansion path tied to additional users and cross-functional adoption.
ACC-005,EXT-1005,BluePeak Media,bluepeakmedia.example,Retail Analytics,SMB,EU,Active,Customer,Farah Malik,Maya Patel,Enterprise,2025-10-27,2026-07-05,Annual,GBP,21705,17,9,,0,,,4,4,1,2.1,1829.18,1612.89,73,31,3243,14156,8191,2026-01-29,2026-03-08,Negative,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,Customer stakeholders said confidence has dropped ahead of renewal and want proof that service levels will improve.,No immediate upsell path; focus appears to be retention and trust recovery.
ACC-006,EXT-1006,Nimbus Logistics,nimbuslogistics.example,Manufacturing SaaS,Enterprise,US,Active,Renewal,Claire West,Sofia Green,Standard,2025-02-24,2026-07-03,Annual,GBP,296068,1170,459,,1,,2026-03-03,7,4,3,3,24609.56,23813.08,92,74,3894,6311,105180,2025-12-04,2026-02-27,Negative,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,Customer stakeholders said confidence has dropped ahead of renewal and want proof that service levels will improve.,No immediate upsell path; focus appears to be retention and trust recovery.
ACC-007,EXT-1007,Northstar Retail,northstarretail.example,Fintech Infrastructure,Enterprise,EU,Active,Renewal,Claire West,Sara Khan,Standard,2025-02-02,2026-08-12,Annual,GBP,314582,917,509,-23,1,,2026-03-05,7,3,4,,26009.51,22147.81,84,57,14873,9502,110974,2026-01-16,2026-03-02,Mixed,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Sales noted that the account may benchmark alternative vendors if current issues continue into renewal planning.
ACC-008,EXT-1008,Summit People,summitpeople.example,Logistics SaaS,Enterprise,EU,Active,Customer,Claire West,Ben Collins,Priority,2025-11-11,2026-04-16,Annual,GBP,312749,330,309,62,4,80,2026-02-24,0,0,0,,26258.01,29773.93,62,83,0,38989,13931,2026-01-24,2026-02-28,Positive,Support interactions have been low-friction and mostly related to enablement rather than defects.,Recent review meeting highlighted measurable internal value and interest in expanding scope.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-009,EXT-1009,Helio Energy,helioenergy.example,LegalTech,Mid-Market,EU,Active,Renewal,Farah Malik,Tom Willis,Enterprise,2025-03-16,2026-10-14,Annual,GBP,121810,181,81,-31,0,,,5,1,2,2,10229.58,9472.21,82,57,3052,6797,38893,,2026-03-07,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Sales noted that the account may benchmark alternative vendors if current issues continue into renewal planning.
ACC-010,EXT-1010,Northstar Supply,northstarsupply.example,PropTech,Enterprise,UK,Active,Expansion,Daniel Young,Sara Khan,Standard,2024-03-29,2026-05-31,Quarterly,GBP,432182,999,804,60,4,72,2026-03-07,2,0,1,4.6,36249.99,36706.45,63,71,0,146932,4446,2025-12-24,2026-03-08,Positive,Support interactions have been low-friction and mostly related to enablement rather than defects.,Customer reported strong usage within the initial team and asked about rollout to additional business units.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-011,EXT-1011,Summit Supply,summitsupply.example,EdTech,Mid-Market,US,Active,Customer,Alice Johnson,Sara Khan,Standard,2025-11-05,2026-06-07,Annual,GBP,79389,70,54,,1,,2026-02-24,2,0,0,,6636.57,6807.35,58,61,1179,5548,3719,,2026-03-15,Positive,Low ticket volume and straightforward resolutions suggest the account is stable at present.,"Account sentiment is neutral to positive, with no urgent leadership attention requested.",No major commercial movement is currently expected.
ACC-012,EXT-1012,Nimbus People,nimbuspeople.example,PropTech,Enterprise,EU,Active,Renewal,Alice Johnson,Ben Collins,Priority,2024-12-22,2026-04-08,Quarterly,GBP,344285,843,594,5,0,,,8,3,5,3.1,28650.11,27041.7,65,34,11707,4397,76673,2025-11-08,2026-03-02,Negative,"Multiple recent support issues remain unresolved, including workflow-impacting defects reported by operational users.",The main sponsor raised concern about low adoption in key teams and requested an executive review.,Sales noted that the account may benchmark alternative vendors if current issues continue into renewal planning.
ACC-013,EXT-1013,Everfield Media,everfieldmedia.example,Retail Analytics,SMB,US,Active,Renewal,Daniel Young,Sofia Green,Standard,2025-05-25,2026-04-26,Quarterly,GBP,30327,50,39,38,0,,,1,0,1,4.6,2524.55,2529.23,69,75,871,1354,720,2026-01-25,2026-03-02,Positive,Low ticket volume and straightforward resolutions suggest the account is stable at present.,Routine check-in indicated the account is satisfied and operating normally.,Sales sees limited short-term change beyond standard account management.
